Name	Qty	Link
M4 Nuts	26	Parts/M4nut.md
2.5mm Allen key	1	
M4x12 Countersunk Head	16	Parts/M4x12CountersunkHead.md
M5 square	4	Parts/M5sqnut.md
M5x120	4	Parts/M5x120.md
M2x12	8	Parts/M2x12CHC.md
7 open end wrench	1	
M5x25 HEX	4	Parts/M5x25hex.md
Motherboard	1	Parts/Motherboard.md
Dsub 15 connectors	2	Parts/D-sub15.md
Dsub Screws	6	Parts/Visdsub.md
Pliers	2	
M3x20	16	Parts/M3x20.md
2mm Allen key	1	
M3 nuts	16	Parts/M3Nut.md
Rs232 Connector	1	Parts/Rs232.md
Wago suuport	2	Parts/SupportWago.md
M3x6	14	Parts/M3x6.md
Wago	3	Parts/Wago.md
DC socket	1	Parts/DcSocket.md
switch On Off	1	Parts/SwitchOnOFF.md
Fuse Holder	1	Parts/FuseHolder.md
Relays	2	Parts/Relay.md
Wago Support	1	Parts/SupportWago.md
Head pump / 13Rpm	3	Parts/Pump13rpm.md
M4x30	10	Parts/M4x30.md
Head pump / 290Rpm	2	Parts/Pump290rpm.md
M6 Nuts	4	Parts/Visdsub.md
M6x45	4	Parts.yamlM6x45
USB A to B cable	1	Parts/UsbAtoB.md
M4x20	4	Parts/M4x20.md
M4 Threaded Inserts	12	Parts/M4ThreadedInsert.md
soldering iron	1	
M3x12	20	Parts/M3x12.md
M3 Nut	12	Parts/M3Nut.md
power cable	1	Parts/PowerCab.md
power Supply	1	Parts/PowerSup.md
M4X30 Hex Cap	2	Parts/M4x30HexSockCap.md
M3X20	4	Parts/M3x20.md
M3 nut	4	Parts/M3Nut.md
